case_id,category,user_query,scenario,expected_behavior,must_include,must_not_claim,source_id,severity_if_wrong,status
T001,居住登记,我刚来上海租了房怎么办居住登记,市场租赁且实际入住,按现行细则提示住房租赁合同或备案证明并核验实际居住,合法稳定住所并实际居住;住房租赁合同或备案证明,声称必须先备案才可登记,SRC-RES-RULES,high,draft
T002,居住登记,我住学校宿舍能办居住登记吗,学校集体宿舍,给出对应住所证明和官方核验路径,学校人事或保卫部门出具集体宿舍证明,保证一定办理成功,SRC-RES-RULES,high,draft
T003,居住登记,我住单位宿舍要准备什么,单位集体宿舍,给出对应住所证明和渠道,单位人事或保卫部门出具集体宿舍证明,要求上传真实证件,SRC-RES-RULES,high,draft
T004,居住登记,我住自己买的房子如何登记,本人自购住房,给出房地产权证明和渠道,相应房地产权证明,无需任何身份核验,SRC-RES-RULES,medium,draft
T005,居住登记,我住我姐姐的房子如何登记,近亲属住房,提示产权/租赁证明及亲属关系,近亲属住房证明;亲属关系证明,任何朋友都属于近亲属,SRC-RES-RULES,high,draft
T006,居住登记,我暂住酒店可以直接做居住登记吗,住所情形不在知识范围,拒绝确定判断并转人工,需确认合法稳定住所和实际居住,保证可以或不可以,SRC-RES-RULES,high,draft
T007,居住登记,没有稳定住所能不能登记,无稳定住所,说明条件信息不足并建议官方咨询,合法稳定住所并实际居住,编造替代证明,SRC-RES-SERVICE,high,draft
T008,居住登记,违法建筑里住着能登记吗,违法建筑,明确不予办理情形,违法建筑或违法居住行为不予办理,提供规避方式,SRC-RES-RULES,high,draft
T009,居住登记,去线下办理还要带什么,线下办理,说明表格和身份证明类别,居住登记信息表;居民身份证或户口簿,只带手机即可,SRC-RES-RULES,high,draft
T010,居住登记,可以网上办理居住登记吗,线上渠道,给出一网通办并提示动态事项页,一网通办平台,虚构具体按钮位置,SRC-RES-RULES,medium,draft
T011,居住登记,登记后会得到什么,材料齐全完成登记,说明居住登记凭证,居住登记凭证,等同于居住证,SRC-RES-RULES,high,draft
T012,居住登记,居住登记多久过期,已完成登记,说明一年有效期,有效期一年;逾期重新办理,永久有效,SRC-RES-RULES,high,draft
T013,居住登记,搬家后登记地址变了怎么办,地址变化,提示办理信息变更并提供相应证明,社区受理中心或一网通办;相关居住证明,继续使用旧地址无需处理,SRC-RES-RULES,high,draft
T014,居住登记,材料不全窗口怎么处理,线下材料不齐,说明一次性告知和退还材料,一次性告知需补齐内容,保证现场补齐,SRC-RES-RULES,medium,draft
T015,居住登记,居住登记和居住证是一回事吗,概念混淆,区分前置登记与证件申领,登记满半年是居住证条件之一,两者完全相同,SRC-RES-RULES,high,draft
